id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
898339223789183795,Amplio Estudio en Cuzco,515944521,Santiago,Tetuán,Castillejos,40.45926,-3.69681,Entire home/apt,78,30,0,,,6,364,0,
1008424096184929534,LuxaHome - Apartamento de diseño en Justicia,106591951,Claudia,Centro,Justicia,40.422756680846476,-3.6945367900888724,Entire home/apt,400,30,3,2024-01-04,0.31,55,68,3,
1060276271097283207,Pierre Et Vacances - Appartement 6 personnes - 2 c,540456518,Pierre Et Vacances,Tetuán,Castillejos,40.45781766478302,-3.694021969330165,Entire home/apt,9059,1,1,2024-04-28,0.22,3,365,1,
1212269292145781210,Lovely flat in the heart of the city,36503894,Marta Y Enrique,Centro,Cortes,40.4102914480664,-3.6947449306579583,Entire home/apt,113,1,2,2024-08-27,2,38,338,2,
826972233098113958,habitación en piso compartido,293593737,Benicia,Latina,Lucero,40.40727012910141,-3.7494764104485507,Private room,26,1,76,2024-09-08,3.99,1,335,54,
1167934955396476852,Habitación Madrid Centro,497868686,Savina,Centro,Embajadores,40.41247,-3.70601,Private room,68,1,22,2024-09-08,6.41,3,228,22,
1170059765136251109,Habitación en la mejor zona,517069488,Rolando,Arganzuela,Palos de Moguer,40.4048717,-3.693256299999999,Private room,38,1,10,2024-08-29,3.19,2,237,10,
1059955978236372819,Suite moderna cerca del Bernabéu - ImRoom 004,526728170,I'M Room Nuevos Ministerios,Tetuán,Cuatro Caminos,40.4475505,-3.6987219,Private room,107,1,5,2024-02-18,0.63,10,225,5,
1216557765680289661,Ponzano Encantador Piso en Chamberí,450144376,Fernando,Chamberí,Rios Rosas,40.438520793031635,-3.698268468439098,Entire home/apt,86,1,0,,,52,221,0,
1216877106526898568,Design loft - Salamanca District,3911159,Alexandre,Salamanca,Guindalera,40.436640141192875,-3.6744641472997808,Entire home/apt,295,3,0,,,1,363,0,
1029751659727680997,Bonita habitación.,349301050,Paula,Centro,Embajadores,40.41060993364902,-3.6966611503141555,Private room,22,1,1,2024-08-05,0.79,1,24,1,
833065210951785873,"Blueground | Ibiza, doorman, nr green space",434208714,Blueground,Retiro,Ibiza,40.42157319999999,-3.679452,Entire home/apt,162,30,1,2023-05-31,0.06,221,356,0,
23375485,"Madrid Center, Ponzano neighborhood. lat 2 Bedrms",166402313,Carlos & Xabi,Chamberí,Rios Rosas,40.44066,-3.69952,Entire home/apt,130,30,32,2024-07-24,0.41,1,134,3,VT-7522
691384394315267970,"Luxury Apartment, Plaza de Callao, Centro Madrid",32865371,Andrés,Centro,Universidad,40.42047225499829,-3.705632508598329,Entire home/apt,193,2,152,2024-08-23,6.06,8,127,63,
1029009759128512320,magnifica habitación en Madrid,507731620,David,Usera,Moscardó,40.3866006,-3.7153094,Private room,,1,0,,,1,269,0,
870975716857081651,Basic but cozy room in Madrid,118989395,Isis,Puente de Vallecas,Palomeras Sureste,40.386308823937306,-3.6447441857261342,Private room,25,2,9,2024-02-26,0.58,1,9,5,
1183129313671223910,Puerta del Sol-Plaza Mayor Apartment with balcony,584599808,Audilia Antonia,Centro,Sol,40.41679,-3.70574,Entire home/apt,143,4,4,2024-08-11,2.11,1,44,4,
